architect,buildings,f_avg,f_max,min_c,max_c,avg_c,year
Nagle Hartray Danker Kagan McKay Penney Architects Ltd.,1,34,34,2001,2001,2001,0
Nimmons & Co.,1,29,29,1926,1926,1926,0
OKW Architects,1,19,19,2015,2015,2015,0
"Optima, Inc.",1,42,42,2014,2014,2014,0
OWP&P Architects,2,48,57,2003,2003,2003,0
Pappageorge Haymes Partners,31,33,62,1906,2018,2006,12
Pei Cobb Freed & Partners,1,48,48,2005,2005,2005,0
Pelli Clarke Pelli Architects,2,65,70,2019,2019,2019,0
Perkins+Will,26,35,61,1969,2019,1991,28
Pickard Chilton,2,56,60,2009,2017,2013,4
PPKS,2,35,36,2000,2004,2002,2
"Rabun Rasche Rector & Reece, Architects",1,23,23,1999,1999,1999,0
Rafael Viñoly Architects,2,76,76,2019,2019,2019,0
Rapp & Rapp,3,24,26,1926,1928,1927,1
Reinheimer & Associates,1,36,36,1963,1963,1963,0
Ricardo Bofill Taller de Arquitectura,2,44,49,1992,2003,1998,5
Richard Raggi & Associates,1,33,33,1963,1963,1963,0
Rissman & Hirschfield,1,24,24,1928,1928,1928,0
Robert S. DeGolyer,2,25,28,1928,1929,1929,0
Roger Ferris + Partners,1,58,58,2022,2022,2022,0
Roszak/ADC,1,31,31,2008,2008,2008,0
Samuel N. Crowen & Associates,1,38,38,1929,1929,1929,0
Schiff & Freides,3,31,34,1967,1976,1971,5
"Schipporeit, Inc.",1,38,38,1986,1986,1986,0
Schipporeit-Heinrich Associates,1,70,70,1968,1968,1968,0
"Schmidt, Garden & Erikson",1,21,21,1964,1964,1964,0
"Schmidt, Garden & Martin",1,20,20,1906,1906,1906,0
Shaw & Associates,2,37,46,1972,1989,1981,8
"Shaw, Metz and Associates",4,38,41,1960,1964,1962,2
"Shepley, Rutan, and Coolidge",1,20,20,1911,1911,1911,0
Sidney Morris & Associates,1,55,55,1964,1964,1964,0
"Simpson-Peck, Inc.",1,25,25,1963,1963,1963,0
"Skidmore, Owings & Merrill LLP",43,37,100,1958,2018,1980,38
Solomon & Cordwell,4,32,43,1962,1971,1965,6
Solomon Cordwell Buenz,60,43,83,1925,2019,1996,23
Studio Gang,4,57,101,2009,2020,2016,4
Studio Gang ,1,15,15,2016,2016,2016,0
Tange Associates,1,30,30,1990,1990,1990,0
Thielbar & Fugard,2,34,40,1927,1930,1929,1
Thomas E. Stanley,1,44,44,1975,1975,1975,0
"Thompson, Ventulett, Stainback and Associates",1,33,33,1998,1998,1998,0
Tod Williams Billie Tsien Architects,2,10,11,2012,2021,2017,4
Valerio Dewalt Train Associates,5,21,28,2010,2018,2015,3
Vitzthum & Burns,3,39,48,1925,1930,1928,2
VOA Associates,5,25,35,2007,2016,2012,4
Walter W. Ahlschlager,2,31,42,1925,1929,1927,2
Warman Olsen Warman,1,33,33,2003,2003,2003,0
"Weese, Seegers, Hickey, Weese",1,30,30,1983,1983,1983,0
William B. Tabler Architects,1,27,27,1991,1991,1991,0
William Strippelman,1,22,22,1911,1911,1911,0
"William W. Bond, Jr. & Associates",2,25,33,1964,1968,1966,2
ZGF Architects LLP,1,22,22,2012,2012,2012,0
